REFERENCIA,Cliente,TipoVehiculo,numVehiculo,ESTATUS,scac,todFecha,todTiempo,tnfFecha,tnfTiempo,dxsFecha,dxsTiempo,dlyFecha,dlyTiempo,dlyTipo,afsFecha,afsTiempo,dpuFecha,dpuTiempo,exrFecha,exrHora,exrNotas,eccFecha,eccTiempo,ilrFecha,ilrTiempo,ilrtipo,iltNotas,clrFecha,clrTiempo,st1Fecha,st1Tiempo,st1Notas,tscFecha,tscTiempo,tscNotas
92B1214111,WHIRLPOOL/PLANTAS,TRAILER,HGIU643765,,TFSQ,10/31/24,14:01,10/31/24,14:01,10/31/24,15:36,,,,11/01/24,6:12,11/01/24,6:40,,,,11/01/24,12:00,,,,,11/01/24,12:58,,,,11/01/24,13:42,RUBEN
92B1214155,WHIRLPOOL /PLANTAS,TRAILER,52297,,TFSQ,10/31/24,13:25,10/31/24,13:25,10/31/24,14:36,,,,11/01/24,6:06,11/01/24,7:18,,,,11/01/24,13:06,,,,,11/01/24,13:31,,,,11/01/24,13:53,NORBERTO
92B1214577,WHIRLPOOL/PLANTAS,TRAILER,19017,,TFSQ,10/31/24,15:34,10/31/24,15:34,10/31/24,17:19,,,,11/01/24,7:11,11/01/24,8:11,,,,11/01/24,13:24,,,,,11/01/24,14:03,,,,11/01/24,14:27,NORBERTO
92B1214580,WHIRLPOOL/PLANTAS,TRAILER,51334,,TFSQ,10/31/24,15:34,10/31/24,15:10,10/31/24,18:49,,,,11/01/24,6:52,11/01/24,7:44,,,,11/01/24,13:27,,,,,11/01/24,14:01,,,,11/01/24,14:30,NORBERTO
92B1214436,PACCAR,TRAILER,42239,,TFSQ,10/31/24,10:10,10/31/24,9:40,10/31/24,18:57,,,,11/01/24,7:50,11/01/24,8:14,,,,11/01/24,13:27,,,,,11/01/24,14:21,,,,11/01/24,14:47,GABRIELA
92B1214244,WHIRLPOOL/PLANTAS,TRAILER,HGIU513439,,TFSQ,10/31/24,16:26,10/31/24,16:00,10/31/24,17:30,,,,11/01/24,10:40,11/01/24,13:08,,,,11/01/24,14:00,,,,,11/01/24,14:24,,,,11/01/24,14:51,RUBEN
92B1213370,AS MAQUILA,TRAILER,53-515,,GALA,10/31/24,13:01,10/31/24,12:40,10/31/24,13:39,,,,11/01/24,9:19,11/01/24,10:06,,,,11/01/24,14:27,,,,,11/01/24,14:41,,,,11/01/24,14:58,RUBY GAMBOA
92B1213696,AS MAQUILA,TRAILER,CS5334,,TJOM,11/01/24,10:05,11/01/24,9:40,11/01/24,13:04,,,,11/01/24,15:12,11/01/24,15:24,,,,11/01/24,17:08,,,,,11/01/24,17:22,,,,11/01/24,16:44,VOCAR/RUBY GAMBOA
82B0653116,EPSON,TRAILER,54013,,MOGF,10/31/24,18:08,10/31/24,18:08,10/31/24,18:46,,,,11/01/24,8:20,11/01/24,8:42,,,,11/01/24,14:55,,,,,11/01/24,16:39,,,,11/01/24,17:00,MARK RIVERA
92B1213377,AS MAQUILA,TRAILER,53560,,GALA,11/01/24,11:07,11/01/24,10:40,11/01/24,13:07,,,,11/01/24,14:46,11/01/24,15:24,,,,11/01/24,16:42,,,,,11/01/24,16:59,,,,11/01/24,17:24,RUBY GAMBOA
92B1213702,AS MAQUILA,TRAILER,53100,,SBCV,11/01/24,11:09,11/01/24,10:40,11/01/24,14:00,,,,11/01/24,15:30,11/01/24,17:01,,,,11/01/24,17:55,,,,,11/01/24,18:27,,,,11/01/24,18:54,ENTREGADO
92B1214431,STRYKER,TRAILER,391019,MOV EN FALSO,SBCV,10/30/24,19:00,10/30/24,19:00,10/30/24,19:00,,,,11/01/24,13:40,11/01/24,13:58,,,,11/01/24,17:46,,,,,11/01/24,19:15,,,,11/01/24,19:34,ENTREGADO
92b1214175,WHIRLPOOL/PLANTAS,TRAILER,60420,,TFSQ,10/31/24,18:31,10/31/24,18:31,10/31/24,19:46,,,,11/01/24,15:51,11/01/24,16:49,,,,11/01/24,19:35,,,,,11/01/24,21:24,,,,11/01/24,21:45,RICARDO
92B1214583,WHIRLPOOL/PLANTAS,TRAILER,80574,,TFSQ,10/31/24,15:34,10/31/24,15:10,10/31/24,17:19,,,,11/01/24,15:20,11/01/24,16:13,,,,11/01/24,21:23,,,,,11/01/24,21:40,,,,11/01/24,22:10,ANGEL
92B1214119,WHIRLPOOL/PLANTAS,TRAILER,7412,,TFSQ,10/31/24,14:01,10/31/24,14:01,10/31/24,15:33,,,,10/31/24,20:16,10/31/24,20:32,,,,10/31/24,20:45,11/02/24,,,,10/31/24,20:51,,,,10/31/24,21:57,JORGE
92B1215168,SPINMASTER,TRAILER,54056,,CJRA,11/01/24,19:04,11/01/24,19:04,11/01/24,19:06,,,,11/02/24,9:09,11/02/24,12:16,,,,11/02/24,13:25,,,,,11/02/24,13:27,,,,11/02/24,13:45,MARIA RODRIGUEZ
92B1214744,GERRESHEIMER,TRAILER,524279,,CJRA,11/01/24,19:04,11/01/24,19:04,11/01/24,19:05,,,,11/02/24,9:30,11/02/24,10:23,,,,11/02/24,12:16,,,,,11/02/24,12:47,,,,11/02/24,13:29,ENTREGADA
92B1214772,AS MAQUILA,TRAILER,53-592,,LCZM,11/01/24,16:48,11/01/24,16:15,11/01/24,20:12,,,,11/02/24,9:40,11/02/24,9:48,,,,11/02/24,9:48,,,,,11/02/24,12:15,,,,11/02/24,13:48,ALEJANDRO GONZALEZ
92B1213388,AS MAQUILA,TRAILER,ND76847,,LCZM,11/01/24,13:58,11/01/24,13:30,11/01/24,16:25,,,,11/02/24,7:07,11/02/24,7:20,,,,11/02/24,8:56,,,,,11/02/24,9:04,,,,11/02/24,9:23,AG
92B1214092,AS MAQUILA,TRAILER,53706,,MOGF,11/01/24,17:32,11/01/24,17:30,11/01/24,19:07,,,,11/02/24,9:23,11/02/24,9:57,,,,11/02/24,11:50,,,,,11/02/24,14:42,,,,11/02/24,15:26,RICARDO
82B0653506,FOLI,TRAILER,54045,,MOGF,11/01/24,18:33,11/01/24,18:33,11/01/24,18:46,,,,11/02/24,10:23,11/02/24,10:45,,,,11/02/24,13:39,11/02/24,14:15,RAYOS X,,11/02/24,12:17,,,,11/02/24,12:26,ANGEL
92B1214658,GOOGLE,TRAILER,667575,RESGUARDO NO ALCANZO LLEGAR A VOCAR,SBCV,11/01/24,21:09,11/01/24,21:09,11/02/24,11:24,,,,11/02/24,12:10,11/02/24,13:22,,,,11/02/24,15:00,,,,,11/02/24,15:30,,,,11/02/24,16:03,LANDSTAR
92B1214211,GOOGLE,TRAILER,694368,RESGUARDO NO ALCANZO LLEGAR A VOCAR,SBCV,11/01/24,21:09,11/01/24,21:09,11/02/24,11:24,,,,11/02/24,12:01,11/02/24,12:58,,,,11/02/24,14:38,,,,,11/02/24,15:00,,,,11/02/24,15:40,LANDSTAR
92B1213691,AS MAQUILA,TRAILER,53-649,,SBCV,11/01/24,11:09,11/01/24,10:45,11/01/24,20:35,,,,11/02/24,7:00,11/02/24,10:42,,,,11/02/24,11:59,,,,,11/02/24,12:41,,,,11/02/24,12:58,VOCAR
92B1213692,AS MAQUILA,TRAILER,53-544,,SBCV,11/01/24,12:15,11/01/24,11:50,11/01/24,14:13,,,,11/02/24,7:00,11/02/24,8:23,,,,11/02/24,10:25,,,,,11/02/24,10:37,,,,11/02/24,10:58,ENTREGADO
82B0653420,GOODYEAR,TRAILER,524305,,SBCV,11/01/24,19:50,11/01/24,19:50,11/01/24,20:26,,,,11/02/24,7:00,11/02/24,8:19,,,,11/02/24,9:31,,,,,11/02/24,9:39,,,,11/02/24,9:51,ENTREGADO
92B1214986,WHIRPOOL/COMP,TRAILER,60497,,TFSQ,11/01/24,12:34,11/01/24,12:10,11/01/24,14:26,,,,11/02/24,9:23,11/02/24,9:58,,,,11/02/24,15:03,,,,,11/02/24,15:47,,,,11/02/24,16:02,GENANDO
92B1214157,WHIRLPOOL/PLANTAS,TRAILER,HGIU649910,,TFSQ,11/01/24,12:34,11/01/24,12:10,11/01/24,14:41,,,,11/02/24,10:44,11/02/24,11:02,,,,11/02/24,13:16,11/02/24,13:39,,,11/02/24,14:51,,,,11/02/24,15:10,MANUEL
92B1214140,WHIRLPOOL/PLANTAS,TRAILER,HGIU500268,,TFSQ,10/30/24,12:56,10/30/24,12:25,10/30/24,14:23,,,,11/02/24,8:47,11/02/24,9:15,,,,11/02/24,12:15,11/02/24,13:08,,,11/02/24,14:33,,,,11/02/24,14:51,JULIAN
92B1214165,WHIRLPOOL/PLANTAS,TRAILER,HGIU526990,,TFSQ,11/01/24,14:09,11/01/24,14:09,11/01/24,14:59,,,,11/02/24,9:21,11/02/24,9:47,,,,11/02/24,14:20,,,,,11/02/24,14:22,,,,11/02/24,14:40,MARCOS
92B1214578,WHIRLPOOL/PLANTAS,TRAILER,51221,,TFSQ,11/01/24,12:34,11/01/24,12:10,11/01/24,14:38,,,,11/02/24,7:32,11/02/24,8:17,,,,11/02/24,11:59,11/02/24,12:57,,,11/02/24,14:09,,,,11/02/24,14:23,DIEGO
92B1215026,WHIRLPOOL/COMP,TRAILER,60863,,TFSQ,11/01/24,13:37,11/01/24,13:10,11/01/24,14:50,,,,11/02/24,9:46,11/02/24,10:07,,,,11/02/24,12:26,,,,,11/02/24,13:49,,,,11/02/24,14:20,CARLOS A
92B1214154,WHIRLPOOL/PLANTAS,TRAILER,655669,,TFSQ,11/01/24,12:34,11/01/24,12:10,11/01/24,14:33,,,,11/02/24,9:08,11/02/24,9:28,,,,11/02/24,13:14,,,,,11/02/24,13:33,,,,11/02/24,13:56,JOSE
92B1214122,WHIRLPOOL/PLANTAS,TRAILER,HGIU504174,,TFSQ,10/31/24,14:01,10/31/24,14:01,10/31/24,15:35,,,,11/02/24,9:53,11/02/24,10:17,,,,11/02/24,13:15,,,,,11/02/24,13:36,,,,11/02/24,13:53,JULIAN
92B1214160,WHIRLPOOL/PLANTAS,TRAILER,HGIU525389,,TFSQ,11/01/24,14:09,11/01/24,14:09,11/01/24,14:59,,,,11/02/24,9:38,11/02/24,9:54,,,,11/02/24,13:12,,,,,11/02/24,13:34,,,,11/02/24,13:50,MARCOS
92B1214110,WHIRLPOOL/PLANTAS,TRAILER,8526,,TFSQ,10/31/24,17:58,10/31/24,17:50,10/31/24,19:44,,,,11/02/24,9:43,11/02/24,9:59,,,,11/02/24,11:50,,,,,11/02/24,12:20,,,,11/02/24,12:45,ALBERT
92B1215017,PACCAR,TRAILER,393648,,TFSQ,11/01/24,16:06,11/01/24,15:40,11/110/24,20:21,,,,11/02/24,9:16,11/02/24,9:34,,,,11/02/24,11:40,,,,,11/02/24,12:06,,,,11/02/24,12:41,ALEX
92B1214573,WHIRLPOOL/PLANTAS,TRAILER,HGIU646066,,TFSQ,11/01/24,12:45,11/01/24,12:20,11/01/24,14:48,,,,11/02/24,9:20,11/02/24,9:52,,,,11/02/24,11:49,,,,,11/02/24,12:00,,,,11/02/24,12:39,JULIAN
